Sequence,Station Name,Latitude,Longitude
1,Ha Yaek Lat Phrao,13.647363,100.596153
2,Mo Chit,13.802583,100.553833
3,Saphan Khwai,13.7938,100.549731
4,Ari,13.779703,100.544642
5,Sanam Pao,13.772622,100.542092
6,Victory Monument,13.762744,100.537086
7,Phaya Thai,13.756942,100.533844
8,Ratchathewi,13.751875,100.531575
9,Siam,13.745619,100.534228
10,Chit Lom,13.744108,100.543097
11,Phloen Chit,13.743081,100.549019
12,Nana,13.740603,100.555397
13,Asok,13.737033,100.560419
14,Phrom Phong,13.730439,100.569731
15,Thong Lo,13.724244,100.578558
16,Ekkamai,13.719558,100.585175
17,Phra Khanong,13.715194,100.591283
18,On Nut,13.705611,100.601083
19,Bang Chak,13.696751,100.605349
20,Punnawithi,13.688919,100.609211
21,Udom Suk,13.680317,100.609658
22,Bang Na,13.668146,100.604703
23,Bearing,13.659336,100.60105
24,Samrong,13.647363,100.596153
25,Pu Chao,13.63728,100.592
26,Chang Erawan,13.621421,100.590136
27,Royal Thai Naval Academy,13.608448,100.594863
28,Pak Nam,13.602105,100.597118
29,Srinagarindra,13.592074,100.60889
30,Pharaek Sa,13.584325,100.608054
31,Sai Luat,13.57769,100.605353
32,Kheha,13.567622,100.607685